"No.","FREQUENCY(Hz)","LS[H]","Z[ohm]"
"122","72.770E+00","16.08002E-06","25.140E-03"
"123","73.980E+00","15.99649E-06","25.245E-03"
"124","75.200E+00","15.92430E-06","25.354E-03"
"125","76.440E+00","15.84068E-06","25.459E-03"
"126","77.710E+00","15.75103E-06","25.577E-03"
"127","78.990E+00","15.66681E-06","25.676E-03"
"128","80.300E+00","15.58755E-06","25.797E-03"
"129","81.630E+00","15.48540E-06","25.911E-03"
"130","82.980E+00","15.39210E-06","26.021E-03"
"131","84.350E+00","15.28610E-06","26.139E-03"
"132","85.740E+00","15.20755E-06","26.265E-03"
"133","87.160E+00","15.08640E-06","26.381E-03"
"134","88.600E+00","15.01862E-06","26.519E-03"
"135","90.070E+00","14.89773E-06","26.627E-03"
"136","91.560E+00","14.80230E-06","26.766E-03"
"137","93.070E+00","14.70093E-06","26.893E-03"
"138","94.610E+00","14.59168E-06","27.024E-03"
"139","96.180E+00","14.48794E-06","27.151E-03"
"140","97.770E+00","14.36583E-06","27.295E-03"
"141","99.380E+00","14.24766E-06","27.422E-03"
"142","101.03E+00","14.16253E-06","27.559E-03"
"143","102.70E+00","14.05380E-06","27.698E-03"
"144","104.40E+00","13.95227E-06","27.847E-03"
"145","106.12E+00","13.83234E-06","27.986E-03"
"146","107.88E+00","13.69938E-06","28.126E-03"
"147","109.66E+00","13.57967E-06","28.269E-03"
"148","111.48E+00","13.46606E-06","28.413E-03"
"149","113.32E+00","13.34541E-06","28.563E-03"
"150","115.19E+00","13.22555E-06","28.717E-03"
"151","117.10E+00","13.09347E-06","28.857E-03"
"152","119.04E+00","12.98597E-06","29.012E-03"
"153","121.01E+00","12.84148E-06","29.164E-03"
"154","123.01E+00","12.73470E-06","29.324E-03"
"155","125.04E+00","12.58791E-06","29.464E-03"
"156","127.11E+00","12.45280E-06","29.622E-03"
"157","129.21E+00","12.33010E-06","29.770E-03"
"158","131.35E+00","12.19318E-06","29.929E-03"
"159","133.52E+00","12.06178E-06","30.085E-03"
"160","135.73E+00","11.91537E-06","30.235E-03"
"161","137.97E+00","11.78891E-06","30.392E-03"
"162","140.25E+00","11.64713E-06","30.545E-03"
"163","142.57E+00","11.51450E-06","30.699E-03"
"164","144.93E+00","11.37434E-06","30.860E-03"
"165","147.33E+00","11.22678E-06","31.012E-03"
"166","149.77E+00","11.09044E-06","31.167E-03"
"167","152.24E+00","10.94252E-06","31.316E-03"
"168","154.76E+00","10.80761E-06","31.480E-03"
"169","157.32E+00","10.66392E-06","31.637E-03"
"170","159.92E+00","10.52134E-06","31.790E-03"
"171","162.57E+00","10.37788E-06","31.945E-03"
"172","165.26E+00","10.23923E-06","32.105E-03"
"173","167.99E+00","10.09270E-06","32.252E-03"
"174","170.77E+00","9.954089E-06","32.397E-03"
"175","173.59E+00","9.812181E-06","32.555E-03"
"176","176.46E+00","9.664404E-06","32.700E-03"
"177","179.38E+00","9.529059E-06","32.864E-03"
"178","182.35E+00","9.379180E-06","33.005E-03"
"179","185.36E+00","9.241305E-06","33.153E-03"
"180","188.43E+00","9.105060E-06","33.307E-03"
"181","191.54E+00","8.954714E-06","33.450E-03"
"182","194.71E+00","8.818077E-06","33.587E-03"
"183","197.93E+00","8.674554E-06","33.731E-03"
"184","201.21E+00","8.537398E-06","33.877E-03"
"185","204.53E+00","8.401928E-06","34.018E-03"
"186","207.92E+00","8.264859E-06","34.167E-03"
"187","211.35E+00","8.118041E-06","34.300E-03"
"188","214.85E+00","7.982702E-06","34.432E-03"
"189","218.40E+00","7.853374E-06","34.568E-03"
"190","222.01E+00","7.717325E-06","34.710E-03"
"191","225.69E+00","7.584672E-06","34.832E-03"
"192","229.42E+00","7.453474E-06","34.964E-03"
"193","233.21E+00","7.327839E-06","35.098E-03"
"194","237.07E+00","7.197104E-06","35.224E-03"
"195","240.99E+00","7.069866E-06","35.337E-03"
"196","244.98E+00","6.941962E-06","35.472E-03"
"197","249.03E+00","6.820764E-06","35.593E-03"
"198","253.15E+00","6.697698E-06","35.711E-03"
"199","257.33E+00","6.574902E-06","35.836E-03"
"200","261.59E+00","6.455432E-06","35.945E-03"
"201","265.91E+00","6.338777E-06","36.063E-03"
"202","270.31E+00","6.218678E-06","36.181E-03"
"203","274.78E+00","6.110065E-06","36.293E-03"
"204","279.33E+00","5.996545E-06","36.396E-03"
"205","283.95E+00","5.883374E-06","36.514E-03"
"206","288.64E+00","5.774973E-06","36.616E-03"
"207","293.42E+00","5.660350E-06","36.710E-03"
"208","298.27E+00","5.554184E-06","36.820E-03"
"209","303.20E+00","5.454737E-06","36.917E-03"
"210","308.22E+00","5.349165E-06","37.013E-03"
"211","313.31E+00","5.250146E-06","37.118E-03"
"212","318.50E+00","5.148633E-06","37.209E-03"
"213","323.76E+00","5.052165E-06","37.302E-03"
"214","329.12E+00","4.956706E-06","37.390E-03"
"215","334.56E+00","4.865051E-06","37.481E-03"
"216","340.09E+00","4.768453E-06","37.569E-03"
"217","345.72E+00","4.677332E-06","37.655E-03"
"218","351.44E+00","4.593122E-06","37.742E-03"
"219","357.25E+00","4.503610E-06","37.821E-03"
"220","363.16E+00","4.421663E-06","37.897E-03"
"221","369.16E+00","4.336506E-06","37.982E-03"
"222","375.27E+00","4.255146E-06","38.063E-03"
"223","381.47E+00","4.177435E-06","38.136E-03"
"224","387.78E+00","4.099004E-06","38.202E-03"
"225","394.20E+00","4.019207E-06","38.281E-03"
"226","400.71E+00","3.948606E-06","38.352E-03"
"227","407.34E+00","3.876034E-06","38.424E-03"
"228","414.08E+00","3.801359E-06","38.489E-03"
