Evaluation,x_t,y_c1,y_c2,y_t,z_c1,Cost
323,14.335667mm,18.069544mm,11.768377mm,0.12290401mm,39.998253mm,0.40545
819,16.019996mm,19.918317mm,11.977172mm,0.13995807mm,39.894481mm,0.40582
356,14.271584mm,20mm,11.5344mm,0.13538002mm,40mm,0.40614
664,12.668159mm,19.37803mm,11.875607mm,0.13100585mm,39.767172mm,0.40623
54,19.126107mm,18.770032mm,11.989189mm,0.092826545mm,39.998314mm,0.40678
197,18.61527mm,18.337725mm,11.877346mm,0.10930264mm,39.415697mm,0.40682
808,14.231714mm,18.674703mm,11.789404mm,0.099424987mm,38.667218mm,0.40727
959,18.575115mm,18.81347mm,11.855662mm,0.10623136mm,38.821514mm,0.40755
60,17.784144mm,18.751141mm,11.783939mm,0.10141537mm,38.886755mm,0.40756
684,17.554453mm,19.970279mm,11.844187mm,0.1384165mm,39.844417mm,0.40804
666,19.151613mm,18.813815mm,11.751663mm,0.10128472mm,39.374529mm,0.40809
926,13.558538mm,19.633525mm,10.686671mm,0.11620692mm,39.662201mm,0.40817
278,19.179047mm,18.822103mm,11.785285mm,0.09703287mm,39.584907mm,0.40843
362,14.517649mm,19.517417mm,11.875164mm,0.10993416mm,36.619791mm,0.40846
557,18.6875mm,18.780221mm,11.752222mm,0.098525593mm,39.373259mm,0.40847
805,19.136021mm,18.783784mm,11.872318mm,0.11023181mm,38.782844mm,0.40847
563,19.881303mm,19.367433mm,12mm,0.091618709mm,39.428562mm,0.40911
40,15.286451mm,18.755308mm,11.87295mm,0.12856709mm,38.761115mm,0.40915
44,20mm,19.020249mm,11.997832mm,0.1141904mm,38.753111mm,0.40938
667,16.942821mm,19.773114mm,11.939663mm,0.083525999mm,39.715158mm,0.40964
81,16.098334mm,18.556624mm,11.463177mm,0.10772978mm,38.556624mm,0.41024
455,18.373831mm,19.415787mm,11.112945mm,0.104705mm,39.378369mm,0.41053
302,14.472087mm,19.753871mm,11.509774mm,0.086518515mm,39.999953mm,0.41089
444,16.017749mm,18.032527mm,11.878301mm,0.1287968mm,39.580457mm,0.41095
821,16.019996mm,19.293317mm,11.852172mm,0.13745807mm,39.269481mm,0.41129
671,16.460151mm,18.227453mm,10.954651mm,0.1105356mm,40mm,0.41144
135,14.04296mm,19.447162mm,12mm,0.13089273mm,37.757647mm,0.4115
76,12.505396mm,18.750026mm,11.999993mm,0.11165301mm,37.323996mm,0.41158
296,15.314589mm,20mm,11.773595mm,0.12458624mm,36.517443mm,0.41168
540,19.5625mm,18.780221mm,11.752222mm,0.098525593mm,39.373259mm,0.41185
663,19.151613mm,18.813815mm,11.751663mm,0.10128472mm,38.749529mm,0.41202
536,16.11246mm,18.970266mm,11.753473mm,0.088342871mm,39.268423mm,0.41213
583,14.097247mm,19.645182mm,11.875519mm,0.13999804mm,39.37586mm,0.41215
398,19.963805mm,19.483067mm,11.513774mm,0.12692627mm,39.585664mm,0.41245
