Evaluation,x_t,y_c1,y_c2,y_t,z_c1,Cost
170,10.45553mm,8.5421562mm,11.998618mm,0.12284829mm,39.628448mm,0.58267
524,13.547581mm,14.394414mm,7.4135285mm,0.13437691mm,39.116117mm,0.58332
478,11.459695mm,14.152454mm,8.3041383mm,0.097772854mm,30.93523mm,0.58339
966,13.438753mm,11.988094mm,8.7343108mm,0.12402349mm,34.835925mm,0.58425
233,18.946149mm,20mm,10.368893mm,0.072891626mm,26.509536mm,0.58701
457,12.189407mm,20mm,8.14898mm,0.13311476mm,25.298198mm,0.58812
120,5.3086721mm,19.596435mm,10.540132mm,0.11943104mm,26.006787mm,0.5891
56,5.0338646mm,19.101963mm,9.0558381mm,0.10205085mm,39.096297mm,0.58923
148,14.058199mm,9.7551355mm,12mm,0.07mm,40mm,0.59092
674,13.908401mm,11.36698mm,11.999938mm,0.080812765mm,33.155272mm,0.59164
154,5.0014836mm,12.688333mm,8.6652288mm,0.13952526mm,39.458328mm,0.59336
298,19.875692mm,19.895577mm,9.4365897mm,0.13543962mm,26.027533mm,0.5941
13,5.619945mm,19.115727mm,8.4085972mm,0.10835226mm,26.412167mm,0.59492
456,12.903478mm,19.606406mm,8.1668586mm,0.13538658mm,25.471035mm,0.59504
42,5.0031557mm,10.713518mm,11.883545mm,0.13520895mm,39.559951mm,0.59531
98,5.875mm,16.256435mm,7.8170185mm,0.10608552mm,30.651253mm,0.59582
238,8.4569426mm,20mm,9.9783237mm,0.07mm,25.614919mm,0.5969
236,5.7869581mm,19.202738mm,11.763688mm,0.078900467mm,38.790774mm,0.59801
961,16.962818mm,19.993818mm,7.6723712mm,0.11221183mm,29.539672mm,0.59892
548,13.157795mm,11.144729mm,11.620939mm,0.11221455mm,31.461178mm,0.60024
521,12.189407mm,18.75mm,8.14898mm,0.13311476mm,25.298198mm,0.60043
122,19.568668mm,10.577961mm,10.520916mm,0.082315604mm,39.999573mm,0.60106
305,7.0855192mm,19.824443mm,11.929028mm,0.13998391mm,22.279604mm,0.60206
133,16.352576mm,9.4780683mm,11.108749mm,0.13750029mm,39.375129mm,0.60264
53,18.249698mm,14.4699mm,10.674221mm,0.1108443mm,28.334579mm,0.6053
157,6.2232295mm,18.555621mm,8.8912659mm,0.075773503mm,34.80938mm,0.60559
207,18.331232mm,10.577961mm,10.520916mm,0.082315604mm,38.231807mm,0.60914
971,8.1930307mm,13.304627mm,8.8119402mm,0.070007465mm,34.675282mm,0.61015
343,6.7490356mm,14.38386mm,9.7791893mm,0.13256952mm,25.943316mm,0.61097
611,7.0855192mm,18.381067mm,11.640353mm,0.1342104mm,22.279604mm,0.61121
389,19.459481mm,19.99992mm,7.8887819mm,0.10270678mm,29.859197mm,0.61138
647,5mm,19.416233mm,7.9664204mm,0.14mm,31.315803mm,0.6127
616,12.903478mm,17.838639mm,8.1668586mm,0.12831552mm,25.471035mm,0.61319
608,18.596125mm,17.842335mm,7.8477117mm,0.076585596mm,37.508285mm,0.61455
20,19.124698mm,14.4699mm,10.674221mm,0.1108443mm,28.334579mm,0.61533
206,19.669281mm,19.176765mm,7.5080023mm,0.13651029mm,32.824385mm,0.61579
11,5.0012265mm,19.99961mm,8.4085972mm,0.10835226mm,26.412167mm,0.61637
322,18.658918mm,17.73339mm,7.5080023mm,0.13073678mm,32.824385mm,0.61934
780,6.010363mm,15.720654mm,8.5221332mm,0.075776418mm,38.556624mm,0.6202
17,5mm,16.256435mm,7.8170185mm,0.10608552mm,30.651253mm,0.62164
232,6.4566037mm,10.113102mm,11.370794mm,0.080281886mm,37.697094mm,0.62219
195,19.766351mm,11.096318mm,8.9084632mm,0.14mm,39.331395mm,0.62374
19,19.999698mm,14.4699mm,10.674221mm,0.1108443mm,28.334579mm,0.62376
352,17.583873mm,20mm,7.843226mm,0.10399407mm,27.617117mm,0.62427
106,7.5459242mm,7.745783mm,9.3243771mm,0.12146008mm,39.524171mm,0.62578
883,6.3611426mm,18.635435mm,6.4573161mm,0.13346067mm,38.244856mm,0.63347
418,5.6363395mm,19.654806mm,11.835848mm,0.073765118mm,39.997681mm,0.63417
833,17.559787mm,18.23176mm,8.5229292mm,0.080694559mm,27.828005mm,0.63541
642,17.559787mm,19.999527mm,8.5229292mm,0.073623491mm,27.828005mm,0.63565
190,19.606488mm,17.842335mm,7.8477117mm,0.070812093mm,38.95166mm,0.63697
217,5.549751mm,13.84675mm,11.961722mm,0.074732566mm,38.265859mm,0.63823
58,19.456136mm,19.852582mm,7.7120518mm,0.07247033mm,37.578393mm,0.63829
360,13.080817mm,19.457559mm,11.993607mm,0.07mm,21.238163mm,0.63875
522,11.81232mm,10.986618mm,8.3897635mm,0.14mm,32.917676mm,0.64304
605,18.717622mm,10.80432mm,11.711229mm,0.077288002mm,34.43657mm,0.64609
26,5mm,18.785722mm,6.7257709mm,0.13530311mm,35.483388mm,0.65031
95,6.6749369mm,13.53097mm,9.2662075mm,0.077071068mm,27.718992mm,0.65127
188,7.5459242mm,7.745783mm,9.3243771mm,0.12146008mm,37.024171mm,0.65192
829,13.080817mm,18.014184mm,11.704932mm,0.075773503mm,21.238163mm,0.65288
111,18.76598mm,20mm,11.909929mm,0.098498848mm,20.24426mm,0.65874
890,5.0930391mm,10.760338mm,8.7298787mm,0.0887723mm,34.416451mm,0.66307
16,19.727985mm,10.80432mm,11.999904mm,0.071514499mm,34.43657mm,0.66647
727,5mm,17.674007mm,6.4079101mm,0.13040728mm,39.987295mm,0.66733
604,5.3058453mm,19.827839mm,11.789659mm,0.071848426mm,39.302965mm,0.66978
153,17.52172mm,8.7430254mm,11.999748mm,0.094140903mm,37.062479mm,0.67411
9,10.884834mm,16.706301mm,6.9185773mm,0.098337145mm,27.269278mm,0.67515
297,8.5620202mm,19.584436mm,11.855896mm,0.10559467mm,18.069104mm,0.67527
531,20mm,11.810205mm,7.746105mm,0.095091395mm,40mm,0.67585
838,5.4293885mm,19.322044mm,7.5317362mm,0.10450728mm,21.505228mm,0.67616
519,5.2997302mm,20mm,7.4782031mm,0.12861228mm,21.488354mm,0.67722
826,18.762563mm,11.810205mm,7.746105mm,0.095091395mm,38.232233mm,0.6775
222,5.4462407mm,10.113102mm,11.370794mm,0.074508383mm,39.14047mm,0.67913
161,13.150469mm,19.052395mm,6mm,0.13094617mm,39.515485mm,0.68478
433,5.4013497mm,19.930253mm,9.2120533mm,0.10370464mm,19.146535mm,0.68594
824,7.9875446mm,17.623344mm,11.696966mm,0.13074069mm,19.113852mm,0.6863
204,5.6470831mm,19.619484mm,6.1852787mm,0.10849824mm,30.32658mm,0.68824
108,18.762563mm,12.746406mm,8.0211121mm,0.13292893mm,32.141543mm,0.68996
37,5.4150438mm,19.335459mm,11.829122mm,0.084318755mm,21.256519mm,0.6932
483,5.6881016mm,19.998385mm,8.5432928mm,0.08216502mm,20.960563mm,0.69442
221,6.010363mm,8.2536135mm,9.9015476mm,0.075779992mm,38.556624mm,0.69565
99,5.2128665mm,19.998997mm,8.8912659mm,0.07mm,34.80938mm,0.69598
979,19.999758mm,11.407211mm,7.7852359mm,0.090637703mm,39.922311mm,0.69809
137,8.5874402mm,9.3515217mm,11.905505mm,0.14mm,29.584639mm,0.69908
842,19.26064mm,8.5848416mm,11.876074mm,0.10832582mm,36.70316mm,0.70666
813,15.577mm,8.0996466mm,12mm,0.13878534mm,36.576944mm,0.70803
788,19.836004mm,19.629757mm,6.7695322mm,0.13515452mm,30.772936mm,0.70805
945,5mm,20mm,12mm,0.07mm,29.694021mm,0.70846
515,5.718669mm,19.234357mm,11.411914mm,0.13543878mm,18.388801mm,0.71017
68,20mm,12.746406mm,8.0211121mm,0.14mm,32.141543mm,0.71191
155,5mm,15.720654mm,8.5221332mm,0.070002916mm,40mm,0.71313
14,5.4375mm,13.53097mm,9.2662075mm,0.07mm,27.718992mm,0.7165
779,19.144136mm,18.823229mm,6.2357897mm,0.13971974mm,38.787451mm,0.7169
181,6.6874775mm,13.344338mm,11.537202mm,0.13085993mm,21.616585mm,0.72042
359,17.485181mm,9.2252495mm,8.1936535mm,0.086864588mm,40mm,0.7206
257,18.585198mm,18.052467mm,11.477721mm,0.13421389mm,20.137541mm,0.72079
556,13.08468mm,9.4091093mm,9.2214649mm,0.070033103mm,33.927029mm,0.7226
227,14.005841mm,16.114374mm,8.7621392mm,0.12594013mm,21.064013mm,0.72764
769,11.135413mm,11.606994mm,8.3466832mm,0.094121905mm,25.843036mm,0.73002
299,13.98892mm,11.742256mm,7.7829042mm,0.07461386mm,32.591605mm,0.73049
12,18.969326mm,19.398049mm,6.0642716mm,0.13686761mm,39.856418mm,0.73189
252,6.0317615mm,17.721629mm,9.6910764mm,0.13190229mm,17.824826mm,0.73354
549,8.0309675mm,19.375mm,9.1160907mm,0.14mm,17.126435mm,0.73385
196,14.005841mm,16.114374mm,8.7621392mm,0.13594013mm,21.064013mm,0.73422
103,19.595561mm,18.052467mm,11.766396mm,0.13998739mm,20.137541mm,0.73496
107,5.4500406mm,13.344338mm,11.890755mm,0.13085993mm,21.616585mm,0.73526
889,6.128724mm,19.770549mm,6.2372321mm,0.079779836mm,39.56998mm,0.73615
818,10.907481mm,7.6112146mm,7.6906746mm,0.087258062mm,39.694425mm,0.73618
413,19.388423mm,17.582735mm,6.2318021mm,0.13491698mm,38.611929mm,0.73652
472,6.4708602mm,18.458235mm,6.2304499mm,0.078978182mm,37.677121mm,0.73671
967,12.1775mm,8.8465759mm,10.540328mm,0.13114338mm,30.418755mm,0.73733
626,6.3885362mm,8.4899455mm,6.4253456mm,0.13384391mm,38.400242mm,0.7383
100,5.0213985mm,19.165005mm,9.6910764mm,0.1376758mm,17.824826mm,0.7383
51,7.097893mm,7.4796752mm,6.8466778mm,0.10261708mm,39.999928mm,0.74118
782,19.752588mm,19.85498mm,6.0618558mm,0.13626365mm,39.398346mm,0.74254
25,20mm,13.824474mm,6.634585mm,0.11360221mm,38.782479mm,0.74442
513,19.122451mm,17.86248mm,6.7559912mm,0.079141459mm,37.953176mm,0.74536
606,14.967005mm,19.999052mm,10.777866mm,0.12468444mm,17.099801mm,0.74841
572,6.2133581mm,10.940978mm,11.6547mm,0.093820524mm,24.229745mm,0.7508
223,19.997451mm,19.11248mm,6.7559912mm,0.074141459mm,39.203176mm,0.75157
256,20mm,20mm,6mm,0.13372365mm,40mm,0.75248
308,10.907122mm,7.1735932mm,7.9781213mm,0.085171913mm,39.461702mm,0.75323
211,18.245553mm,20mm,7.3594721mm,0.094147737mm,23.838014mm,0.75541
254,11.847142mm,19.049708mm,6.2076693mm,0.074313651mm,39.003733mm,0.75599
528,14.058703mm,16.072382mm,11.999755mm,0.099025844mm,18.990118mm,0.75895
319,5.5135362mm,8.4899455mm,6.1753456mm,0.13884391mm,39.650242mm,0.76
28,5mm,8.2536135mm,9.9015476mm,0.07000649mm,40mm,0.76141
508,6.5471953mm,12.493994mm,6.4177472mm,0.077751023mm,34.663732mm,0.76414
514,19.142257mm,19.964411mm,7.6880958mm,0.07475987mm,24.742487mm,0.76695
249,10.899139mm,17.998113mm,6.2887823mm,0.13134694mm,24.155311mm,0.77261
432,11.060969mm,6.8841817mm,12mm,0.14mm,35.389375mm,0.77351
938,14.531648mm,7.4715561mm,7.8872906mm,0.095253228mm,39.998679mm,0.77389
937,14.550648mm,7.4629822mm,7.8887194mm,0.095064066mm,40mm,0.77551
678,18.144225mm,18.79668mm,11.986908mm,0.09849548mm,17.762642mm,0.77677
695,16.895626mm,16.476918mm,9.8801343mm,0.082943848mm,20.265954mm,0.77717
39,20mm,7.2242648mm,11.836052mm,0.13680358mm,40mm,0.7779
778,5.830829mm,18.550595mm,6.2422955mm,0.12474674mm,20.096839mm,0.78758
215,18.245553mm,17.5mm,7.3594721mm,0.094147737mm,23.838014mm,0.79348
213,19.623046mm,19.061505mm,6mm,0.10355617mm,39.165258mm,0.79963
219,5.7987297mm,7.8398676mm,7.6454474mm,0.073283325mm,34.468375mm,0.80013
5,6.7871181mm,8.9905393mm,6.8450728mm,0.12661153mm,27.598456mm,0.8044
351,20mm,13.906007mm,11.948946mm,0.089292388mm,22.228148mm,0.8068
735,10.642313mm,18.783541mm,6.0891657mm,0.089380882mm,26.14781mm,0.80742
230,17.667215mm,17.971141mm,6mm,0.13738619mm,32.657156mm,0.80751
186,10.899139mm,19.441488mm,6.0001071mm,0.13712045mm,24.155311mm,0.81013
31,17.901312mm,19.99989mm,9.3856298mm,0.13999721mm,17.424898mm,0.81052
634,17.07216mm,17.751428mm,6.3495463mm,0.078430468mm,36.434425mm,0.81542
314,5.8232027mm,19.932841mm,6.0985561mm,0.071457353mm,39.380986mm,0.81545
32,5.6882364mm,19.576269mm,6.0068431mm,0.074506046mm,38.795155mm,0.81795
766,19.999746mm,17.874009mm,9.6195221mm,0.084117954mm,19.4295mm,0.81959
525,14.906708mm,7.1153039mm,8.949077mm,0.12663645mm,35.486801mm,0.82653
479,17.07216mm,19.519195mm,6.3495463mm,0.0713594mm,36.434425mm,0.83025
259,13.207901mm,18.865472mm,6.2313598mm,0.074598279mm,30.551593mm,0.83109
175,6.234418mm,18.574475mm,6.2526221mm,0.076323647mm,23.027266mm,0.83221
18,7.2663148mm,18.097147mm,8.6743027mm,0.11831143mm,15.033681mm,0.83363
623,12.332529mm,9.8908908mm,6.6006966mm,0.074671322mm,39.208896mm,0.83451
117,16.658363mm,19.800991mm,11.95195mm,0.07mm,16.341143mm,0.8362
610,19.79424mm,19.174687mm,10.546384mm,0.073044163mm,17.876216mm,0.84023
764,5.8553037mm,19.999918mm,8.3101449mm,0.076606175mm,15.536498mm,0.84331
460,19.128823mm,18.752723mm,9.5356821mm,0.072209849mm,18.626714mm,0.84392
640,5mm,19.530517mm,6.2283738mm,0.07mm,35.213916mm,0.84573
96,13.687441mm,20mm,8.2545541mm,0.074948479mm,17.114699mm,0.84655
653,15.390826mm,19.997844mm,8.8865209mm,0.11993565mm,15.803989mm,0.84934
87,17.901312mm,18.232123mm,9.3856298mm,0.13292615mm,17.424898mm,0.85006
983,17.230389mm,6.7391966mm,8.0926972mm,0.11546083mm,40mm,0.85007
176,5.5368323mm,12.493994mm,6.1290721mm,0.071977521mm,34.663732mm,0.85224
451,13.498732mm,13.83773mm,11.999366mm,0.088327124mm,18.978353mm,0.85256
4,8.5920743mm,7.6993011mm,6.9737999mm,0.12440565mm,30.049397mm,0.85303
450,13.507225mm,13.82169mm,11.99914mm,0.088258211mm,18.986448mm,0.85319
506,16.299411mm,19.999615mm,7.0683594mm,0.074970461mm,21.742817mm,0.86058
411,7.0796188mm,5.3453856mm,11.306849mm,0.12671377mm,36.54295mm,0.8635
469,13.687441mm,18.232233mm,8.2545541mm,0.082019547mm,17.114699mm,0.86395
597,16.299411mm,18.231848mm,7.0683594mm,0.082041529mm,21.742817mm,0.86446
463,16.643822mm,18.665549mm,7.0991984mm,0.13447057mm,19.398229mm,0.86541
810,5.3566147mm,19.476613mm,6mm,0.070265536mm,32.456211mm,0.86699
677,19.185122mm,16.625221mm,11.974138mm,0.11313938mm,17.711082mm,0.86976
759,6.2526275mm,8.2524041mm,6.2893293mm,0.076435597mm,37.940761mm,0.87146
90,18.989637mm,15.428408mm,11.711325mm,0.075773503mm,19.178791mm,0.87239
859,19.327854mm,18.021879mm,6.1478803mm,0.077629365mm,38.626091mm,0.8754
467,5mm,5.8151815mm,10.870919mm,0.13982719mm,33.251363mm,0.87657
593,10.695448mm,13.366422mm,11.570895mm,0.13051025mm,18.047925mm,0.88008
447,10.585356mm,13.395358mm,12mm,0.13806035mm,18.117521mm,0.8817
801,6.5102308mm,6.1997719mm,6.0494082mm,0.13780063mm,39.082914mm,0.88636
446,10.695448mm,13.366422mm,11.924449mm,0.13758131mm,18.047925mm,0.88748
509,10.425837mm,7.9419584mm,6.236563mm,0.093398959mm,37.313366mm,0.88938
827,19.47134mm,17.443037mm,8.1536785mm,0.13188785mm,18.728642mm,0.88991
763,5.4776344mm,12.022958mm,6mm,0.071052416mm,33.134204mm,0.8951
82,20mm,15.428408mm,12mm,0.07mm,19.178791mm,0.89914
268,13.176267mm,6.2950316mm,9.5423008mm,0.08mm,35.406213mm,0.90018
775,18.430828mm,15.077173mm,6.2864158mm,0.075237651mm,37.662485mm,0.9023
476,7.1125617mm,5.9576073mm,11.999374mm,0.07mm,34.714404mm,0.90895
52,5.359418mm,19.824475mm,6.0026221mm,0.071323647mm,23.027266mm,0.90942
590,17.59692mm,17.389922mm,6.3235938mm,0.080627448mm,28.166734mm,0.91747
958,5.4375mm,16.74543mm,6mm,0.072118456mm,23.109674mm,0.91831
591,5.001174mm,15.341154mm,7.240909mm,0.070266527mm,17.55437mm,0.92223
123,13.176267mm,6.2950316mm,9.5423008mm,0.07mm,35.406213mm,0.92658
601,15.974455mm,15.26051mm,8.7628353mm,0.094104697mm,17.688822mm,0.93386
439,12.481408mm,12.934355mm,11.951705mm,0.077817642mm,18.254559mm,0.9382
784,19.228476mm,13.909092mm,6.2204671mm,0.071815836mm,39.642562mm,0.94706
517,5.8390916mm,13.522634mm,10.806735mm,0.11373083mm,15.687669mm,0.94793
712,18.246511mm,7.7521227mm,8.2493326mm,0.11604213mm,31.571724mm,0.95562
201,6.2526275mm,8.2524041mm,6.0006542mm,0.070662094mm,39.384137mm,0.95618
742,12.189036mm,11.393362mm,11.524468mm,0.077071654mm,19.594154mm,0.95777
473,5mm,20mm,6mm,0.10994824mm,15.139739mm,0.9584
920,19.987637mm,6.3843644mm,8.1372516mm,0.10341445mm,39.378504mm,0.96691
189,5.8733117mm,11.69816mm,9.8102941mm,0.13502286mm,16.735252mm,0.96911
578,7.3828334mm,14.243023mm,6.1817603mm,0.074535657mm,20.346276mm,0.9717
397,20mm,20mm,12mm,0.14mm,14.454043mm,0.9719
442,12.189036mm,11.393362mm,11.878022mm,0.070000586mm,19.594154mm,0.97592
964,13.131005mm,11.064142mm,11.886417mm,0.13336511mm,19.611628mm,0.98852
630,5.9683753mm,4.1657061mm,11.811994mm,0.13699458mm,40mm,0.98923
756,18.762563mm,16.601841mm,8.2683479mm,0.13292893mm,16.926772mm,0.99104
635,19.136968mm,15.804579mm,6.1559115mm,0.14mm,23.877414mm,0.99117
246,19.305828mm,15.077173mm,6.0364158mm,0.070237651mm,38.912485mm,0.99781
690,19.996511mm,7.7521227mm,8.2493326mm,0.11604213mm,31.571724mm,0.99988
267,17.59692mm,18.833298mm,6.0349186mm,0.074853946mm,28.166734mm,1.009
917,19.993274mm,6.0059325mm,8.1950156mm,0.10402086mm,39.554346mm,1.01
617,6.8665711mm,5.8035382mm,11.50588mm,0.13837255mm,28.967015mm,1.0135
468,19.250709mm,7.9547371mm,6.2438469mm,0.13760528mm,39.992758mm,1.0143
740,20mm,16.601841mm,8.2683479mm,0.14mm,16.926772mm,1.0205
797,19.137327mm,9.7267107mm,7.9887826mm,0.10687414mm,25.157189mm,1.0311
399,15.012352mm,11.485336mm,10.27372mm,0.13345616mm,18.890985mm,1.037
174,12.322706mm,13.521572mm,6.1843367mm,0.074229892mm,23.137784mm,1.0435
836,5mm,4.6701764mm,11.048711mm,0.078922944mm,35.716964mm,1.0448
587,18.685431mm,18.435218mm,6.25mm,0.13498008mm,19.110339mm,1.0484
773,5.4016926mm,15.014311mm,11.886914mm,0.10008371mm,13.572661mm,1.0514
817,15.723937mm,12.704742mm,11.722627mm,0.13588951mm,17.392847mm,1.0584
131,19.83717mm,12.724022mm,6mm,0.07230166mm,39.489178mm,1.0588
318,5.8005412mm,11.836517mm,12mm,0.071955227mm,16.386469mm,1.0738
711,5.1120611mm,4.4294381mm,11.758172mm,0.070154648mm,38.204455mm,1.0816
855,18.34498mm,9.9361808mm,6.452606mm,0.13137351mm,26.896339mm,1.085
104,5.2963011mm,9.8356752mm,11.856531mm,0.074178591mm,18.405626mm,1.0897
781,6.9162271mm,12.975228mm,8.0325369mm,0.07000197mm,14.918378mm,1.0906
624,5.3725655mm,19.820296mm,6.1927195mm,0.13776859mm,11.970831mm,1.0911
255,19.560431mm,19.685218mm,6mm,0.13998008mm,19.110339mm,1.0955
178,19.977254mm,18.999311mm,6.248134mm,0.07420802mm,22.871413mm,1.1078
753,16.21181mm,13.747986mm,10.785878mm,0.12126278mm,15.71918mm,1.1089
159,5.4266056mm,19.382148mm,6.0464439mm,0.13800656mm,12.103163mm,1.1096
885,5.6789523mm,5.4393059mm,6.161879mm,0.078939401mm,32.48105mm,1.1155
990,19.991025mm,5.6885881mm,8.0099675mm,0.081321539mm,39.069016mm,1.1291
371,14.559111mm,7.4063686mm,9.3102895mm,0.14mm,25.083925mm,1.1296
771,5.6947554mm,4.9402835mm,7.2989624mm,0.13500277mm,28.244634mm,1.1329
880,6.6838709mm,4.4018363mm,6.0006333mm,0.093328653mm,40mm,1.1422
869,6.897514mm,3.5869637mm,10.35098mm,0.13915885mm,39.312306mm,1.143
367,14.44336mm,7.30767mm,9.3579731mm,0.13998863mm,24.91724mm,1.1457
470,5mm,6.3171864mm,6mm,0.075mm,27.417688mm,1.1591
184,19.42965mm,9.1615763mm,12mm,0.13777066mm,22.353625mm,1.1655
401,16.003246mm,9.3793395mm,10.427071mm,0.13963761mm,20.384599mm,1.1759
88,11.938079mm,18.767128mm,11.999888mm,0.12167181mm,11.191222mm,1.1824
502,12.911896mm,9.3376378mm,11.646267mm,0.080136588mm,19.130792mm,1.1905
650,19.71181mm,13.747986mm,10.785878mm,0.12126278mm,15.71918mm,1.1942
585,16.464957mm,4.4810713mm,8.253651mm,0.11637691mm,39.45801mm,1.1971
317,20mm,7.5747975mm,10.20231mm,0.074184248mm,26.67629mm,1.2009
91,9.8803382mm,18.84743mm,11.858334mm,0.07369476mm,10.944447mm,1.2011
187,12.911896mm,9.3376378mm,11.99982mm,0.073065521mm,19.130792mm,1.2059
638,9.0809017mm,6.145788mm,11.4673mm,0.13601709mm,24.425086mm,1.2125
71,5mm,4.8684048mm,11.829348mm,0.10181293mm,28.02685mm,1.2175
495,17.677964mm,5.6623959mm,6.6289934mm,0.089913653mm,38.407859mm,1.2214
29,5.4978034mm,8.0653208mm,12mm,0.13709296mm,18.257032mm,1.2273
750,6.5432787mm,3.5423661mm,6.2942992mm,0.10334634mm,38.75mm,1.2451
394,17.55792mm,9.9518956mm,9.9877249mm,0.070949262mm,19.535706mm,1.2465
588,20mm,6.1038893mm,6mm,0.14mm,40mm,1.2564
265,18.38695mm,5.5051983mm,6.6175927mm,0.12419086mm,36.815997mm,1.2567
505,5.875mm,4.6933757mm,6.2886751mm,0.075773503mm,30.973175mm,1.2613
768,11.785506mm,3.8566434mm,11.693251mm,0.13177436mm,37.947524mm,1.2712
475,14.798212mm,6.5688703mm,9.6783989mm,0.13mm,24.948612mm,1.2712
6,6.5480667mm,3.7413556mm,6.2312235mm,0.12087405mm,35.09899mm,1.2724
848,11.756647mm,4.1085933mm,6.3164029mm,0.12555712mm,40mm,1.273
378,14.798212mm,6.5688703mm,9.6783989mm,0.14mm,24.948612mm,1.2779
474,19.427964mm,5.6623959mm,6.6289934mm,0.089913653mm,38.407859mm,1.2915
596,5.875mm,3.229747mm,11.98809mm,0.1105778mm,38.91759mm,1.298
245,5.6784638mm,3.190886mm,11.949482mm,0.13600424mm,39.090299mm,1.2983
496,12.831593mm,3.7024421mm,9.2964975mm,0.13999619mm,39.187061mm,1.2996
2,9.0255287mm,5.0274056mm,6.8023469mm,0.13698904mm,27.022571mm,1.3242
272,5.5143712mm,3.1093176mm,11.754062mm,0.13565805mm,38.779018mm,1.3332
320,5.5496905mm,11.577745mm,6mm,0.11214807mm,12.872541mm,1.3434
790,15.368867mm,4.8982005mm,8.5934845mm,0.13471998mm,31.604011mm,1.3448
408,18.22187mm,17.927354mm,6.4955253mm,0.12387245mm,13.372922mm,1.3466
114,8.818088mm,3.910456mm,11.20414mm,0.092961796mm,33.058073mm,1.3528
717,18.051426mm,5.4692755mm,6.6232401mm,0.081805241mm,36.634171mm,1.3561
493,8.6561584mm,8.5600804mm,7.8334297mm,0.075979018mm,16.443784mm,1.3815
703,13.601062mm,4.5350937mm,6.5mm,0.08mm,37.085343mm,1.3833
407,19.232233mm,19.37073mm,6.2068502mm,0.12387245mm,13.372922mm,1.3858
739,5.1717746mm,2.9064929mm,11.770937mm,0.1362942mm,39.501932mm,1.3911
994,14.961128mm,12.037001mm,7.0522989mm,0.07mm,16.019774mm,1.3988
743,5.2687764mm,15.690202mm,8.1066816mm,0.072125545mm,10.035607mm,1.4021
891,6.7111811mm,2.9944092mm,10.147654mm,0.074024441mm,39.020941mm,1.4293
726,17.598364mm,7.0030644mm,10.999938mm,0.099740599mm,22.690567mm,1.4337
86,19.730377mm,19.886444mm,6.5849196mm,0.092572273mm,12.602277mm,1.4375
492,17.598364mm,7.0030644mm,11.499938mm,0.099740599mm,22.690567mm,1.4392
21,17.598364mm,7.0030644mm,11.999938mm,0.099740599mm,22.690567mm,1.4441
654,5.2147176mm,3.1649573mm,6.0920498mm,0.070005534mm,39.886138mm,1.4537
461,5.6216773mm,2.8467755mm,11.843444mm,0.1387642mm,39.094581mm,1.4552
622,5.7834752mm,3.1276249mm,6.2250645mm,0.074570916mm,38.292633mm,1.4675
553,18.295661mm,6.2666801mm,9.896042mm,0.07000645mm,25.663882mm,1.4682
8,9.2075411mm,3.319895mm,7.0375835mm,0.13097446mm,34.904282mm,1.4941
905,5.875mm,3.1517631mm,6mm,0.07mm,40mm,1.5005
546,14.790771mm,7.2755406mm,11.876563mm,0.094058958mm,20.139624mm,1.5016
547,14.846335mm,7.286021mm,11.999249mm,0.094087416mm,20.136034mm,1.5044
820,14.564639mm,6.1557906mm,11.852575mm,0.10035959mm,23.044982mm,1.5061
1,10mm,4mm,6.5mm,0.14mm,30.8mm,1.5088
723,18.096786mm,4.7176741mm,6.6888909mm,0.079729997mm,36.864764mm,1.5153
644,8.6586177mm,19.137848mm,6.1659757mm,0.080322437mm,9.6287763mm,1.5268
466,11.803995mm,3.680929mm,6.558504mm,0.12761284mm,34.89299mm,1.5269
907,5mm,2.9155259mm,6mm,0.075mm,38.985408mm,1.5303
50,11.803995mm,3.680929mm,6.558504mm,0.13261284mm,34.89299mm,1.5334
3,11.803995mm,3.680929mm,6.558504mm,0.13761284mm,34.89299mm,1.5336
193,5.4445277mm,19.779601mm,11.912842mm,0.13881919mm,8.1322836mm,1.5403
1000,5.9268676mm,2.7174092mm,6.0972306mm,0.13064749mm,37.670436mm,1.5567
757,5mm,6.5211161mm,6.4039914mm,0.13203593mm,15.985349mm,1.5693
760,8.7469137mm,5.6351923mm,8.7679165mm,0.11344082mm,20.128366mm,1.5739
489,16.92402mm,4.5527613mm,6.2886751mm,0.079259254mm,37.420986mm,1.5776
429,14.728986mm,3.8478843mm,6.0014412mm,0.12010502mm,38.776849mm,1.5788
751,5.7260649mm,2.7047395mm,10.600889mm,0.070008801mm,38.773932mm,1.5984
709,17.470385mm,4.932787mm,6.5026741mm,0.12113645mm,30.650463mm,1.6113
856,6.6942428mm,19.773209mm,6mm,0.07mm,8.8735695mm,1.6306
465,11.89179mm,2.9418727mm,11.851761mm,0.1398392mm,39.994935mm,1.6362
404,19.579313mm,20mm,10.222017mm,0.10196241mm,9.1454324mm,1.6467
993,18.834049mm,4.3512415mm,6.3996333mm,0.077333105mm,37.752205mm,1.6785
828,15.648983mm,3.2312598mm,11.766843mm,0.12837131mm,38.750415mm,1.6908
484,5.8619385mm,2.3927549mm,6.2325722mm,0.093682652mm,39.148567mm,1.7067
696,5.5087009mm,2.4227847mm,11.871415mm,0.13625352mm,39.514505mm,1.7071
752,5.3905478mm,2.5722399mm,6.0936871mm,0.070653063mm,39.280386mm,1.7094
225,10.443358mm,3.0950314mm,6.2479978mm,0.071172258mm,39.620695mm,1.7146
