"Time / s","L1:Inductor current","R4:Resistor current"
0.0063097074610008351,0.10314404179487929,-3.0574515305946082
0.006309717461000835,0.29265376204975985,-3.1709409563576352
0.0063097274610008349,0.4806091188067656,-3.2825544707969789
0.0063097374610008349,0.66687712104558339,-3.3921478351712158
0.0063097474610008348,0.85132652537511322,-3.4995787639632772
0.0063097574610008348,1.0338273187460125,-3.6047064220931775
0.0063097674610008347,1.2142519689112468,-3.7073926895144842
0.0063097774610008346,1.392474202262401,-3.8075009530947033
0.0063097874610008346,1.5683701346547341,-3.9048972510831303
0.0063097974610008345,1.7418180538749806,-3.999450069209904
0.0063098074610008345,1.9126989662046663,-4.0910309002902991
0.0063098174610008344,2.0808963535190825,-4.1795140145212839
0.0063098274610008344,2.2462959730112022,-4.264776271687519
0.0063098374610008343,2.4087861726166024,-4.3466974489176753
0.0063098474610008342,2.5682585454337454,-4.4251609075274452
0.0063098574610008342,2.7246073109756503,-4.5000529857116147
0.0063098674610008341,2.8777294325847227,-4.5712631275622959
0.0063098774610008341,3.0275253894443623,-4.6386846660626881
0.006309887461000834,3.1738988105444275,-4.7022144679118565
0.0063098974610008339,3.3167566913197182,-4.7617531604894943
0.0063099074610008339,3.4560092360623789,-4.8172049842311084
0.0063099174610008338,3.5915697827008772,-4.8684777270235893
0.0063099274610008338,3.7233555192006715,-4.9154834501025384
0.0063099374610008337,3.8512872707131129,-4.9581382835443391
0.0063099474610008336,3.9752890959883223,-4.9963620315519996
0.0063099574610008336,4.0952890635036487,-5.0300789565148296
0.0063099674610008335,4.2112187971869499,-5.059217332102488
0.0063099774610008335,4.3230137074677488,-5.0837096820123433
0.0063099874610008334,4.4306138394527448,-5.1034936343555968
0.0063099974610008333,4.5339630982690746,-5.1185111534901901
0.0063099999999998201,4.5595204575315638,-5.1215588395504543
0.0063099999999999996,4.5595204593290095,-5.1215588397549627
0.0063100099999999996,4.6574659421043307,-5.1305241189737725
0.0063100199999999995,4.7510480287908976,-5.1346078436193618
0.0063100299999999995,4.8402234128142068,-5.1337663539295662
0.0063100399999999994,4.9249529968343815,-5.1279606970904217
0.0063100499999999993,5.0052021992927891,-5.1171569380781108
0.0063100599999999993,5.0809402909055184,-5.1013254990135586
0.0063100699999999992,5.1521409902459565,-5.0804417582737935
0.0063100799999999992,5.2187820569581174,-5.0544856454472056
0.0063100899999999991,5.2808461660040829,-5.0234425179028257
0.006310099999999999,5.3383199142351261,-4.9873021689711132
0.006310109999999999,5.3911941218483417,-4.9460591301792682
0.0063101199999999989,5.4394633063438871,-4.8997121456135604
0.0063101299999999989,5.483127009473912,-4.8482654990504699
0.0063101399999999988,5.5221895677531316,-4.7917287838493339
0.0063101499999999987,5.556659190189059,-4.7301159798857615
0.0063101599999999987,5.5865481789901246,-4.6634456726226041
0.0063101699999999986,5.6118736198497432,-4.5917417414624335
0.0063101799999999986,5.632656601720285,-4.5150325771316213
0.0063101899999999985,5.6489219404651827,-4.4333508023836572
0.0063101999999999984,5.6606992504828382,-4.3467343401265905
0.0063102099999999984,5.6680229112723062,-4.2552263764159051
0.0063102199999999983,5.6709301968797456,-4.1588734850280176
0.0063102299999999983,5.669462540953603,-4.0577268883499862
0.0063102399999999982,5.6636667827337552,-3.9518436975430147
0.0063102499999999982,5.653593502655526,-3.8412852428173068
0.0063102599999999981,5.6392972638621188,-3.7261173082818484
0.006310269999999998,5.6208356180137997,-3.6064091313087436
0.006310279999999998,5.5982697260347205,-3.4822340161807044
0.0063102899999999979,5.5716648268589868,-3.3536697954596137
0.0063102999999999979,5.5410910808684006,-3.2207996653459037
0.0063103099999999978,5.5066213829433819,-3.0837099903830727
0.0063103199999999977,5.4683319987326708,-2.9424909310161587
0.0063103299999999977,5.4263036164740672,-2.7972374860939961
0.0063103399999999976,5.380619877566323,-2.6480480138535682
0.0063103499999999976,5.3313679693378422,-2.4950248148213352
0.0063103599999999975,5.2786384519289928,-2.3382739482716648
0.0063103699999999974,5.2225248125288894,-2.1779047756000458
0.0063103799999999974,5.1631234168655942,-2.0140299008759204
0.0063103899999999973,5.1005344036565692,-1.8467660537803448
0.0063103999999999973,5.0348607527079636,-1.6762331458729021
0.0063104099999999972,4.9662081191709051,-1.5025540927886114
0.0063104199999999971,4.8946846143543903,-1.3258545825539523
0.0063104299999999971,4.820400950159434,-1.1462632072365815
0.006310439999999997,4.7434703659152619,-0.9639113768618377
0.006310449999999997,4.6640085649246741,-0.77893324258002128
0.0063104599999999969,4.5821335891341173,-0.59146555777068643
0.0063104699999999968,4.4979658363641377,-0.40164768145342045
0.0063104799999999968,4.4116273357518612,-0.20962083964767775
0.0063104899999999967,4.3232423278326131,-0.015528691126110772
0.0063104907957258387,4.316125158688048,9.2714862454101876e-08
0.0063104907957260174,4.3161251570885595,9.6203138788553133e-08
0.0063104999999998206,4.2732132587310296,0.13107717345749759
0.0063105000000000001,4.2732132593056722,0.13107717427910082
0.006310502760933063,4.0525070554406204,0.3700543472666995
0.0063105055218661259,3.8798180372145858,0.55009950046438094
0.0063105085265207734,3.7730382017076285,0.64645632046113244
0.0063105085265209521,3.7730381984963062,0.64645632234022354
0.0063105175049122985,3.6013557452583753,0.75338176924909339
0.0063105275049122984,3.4089489210492796,0.87358926604475728
0.0063105375049122983,3.2154234428353905,0.99482576805618494
0.0063105475049122983,3.0209196098926379,1.1169387215801052
0.0063105575049122982,2.8255784944351401,1.2397747132865433
0.0063105675049122982,2.6295417269968735,1.3631797003282728
0.0063105775049122981,2.4329517117752122,1.4869988106053507
