"Freq [Hz]","y_t [mm]","x_t [mm]","CoreLoss [W]","SolidLoss [W]"
500000,0.035,5,11.7010180252342,11.099250501332
500000,0.035,6,11.7477925179831,10.0364238028959
500000,0.035,7,11.7727003494373,9.34641284988348
500000,0.035,8,11.7942229838362,8.82449663609162
500000,0.035,9,11.8064439498904,8.45298630698192
500000,0.035,10,11.8239056319555,8.15915474914737
500000,0.035,11,11.8345685481128,7.91718173546098
500000,0.035,12,11.8396678257952,7.72100751643848
500000,0.035,13,11.8493776340285,7.55698652396692
500000,0.035,14,11.8555931634509,7.4235935655865
500000,0.035,15,11.8604653486143,7.30992907423006
500000,0.035,16,11.8647010265349,7.21212182114428
500000,0.035,17,11.8688017220254,7.12441831028718
500000,0.035,18,11.8733317608257,7.05222270662268
500000,0.035,19,11.8721475217145,6.98969312046198
500000,0.035,20,11.8800291736662,6.92290182483543
500000,0.07,5,11.7299823535166,6.15281194739985
500000,0.07,6,11.779379487577,5.6012648524663
500000,0.07,7,11.7888568365241,5.24979688985592
500000,0.07,8,11.8121402434113,4.98045570692965
500000,0.07,9,11.8203147851734,4.79304871298936
500000,0.07,10,11.840895053949,4.63350890237791
500000,0.07,11,11.8480304662416,4.51802975041451
500000,0.07,12,11.8575407295297,4.41214206593584
500000,0.07,13,11.864905126223,4.33080502666193
500000,0.07,14,11.8699979713881,4.26321212424684
500000,0.07,15,11.876158113634,4.20513635089193
500000,0.07,16,11.8803173626837,4.15615980224001
500000,0.07,17,11.8827659006964,4.11308145380004
500000,0.07,18,11.8870328159622,4.07469659041628
500000,0.07,19,11.8898866398672,4.04037097380598
500000,0.07,20,11.8908224999526,4.01170605098154
500000,0.105,5,11.7387353728231,4.69063294740238
500000,0.105,6,11.7876559904521,4.29675556257817
500000,0.105,7,11.802089301327,4.0444209196611
500000,0.105,8,11.8223918698765,3.84494664576356
500000,0.105,9,11.8330053354255,3.70449896228494
500000,0.105,10,11.8489402068533,3.58781805041165
500000,0.105,11,11.8551092015131,3.49956413539365
500000,0.105,12,11.8618869526403,3.42331177486149
500000,0.105,13,11.8715562979938,3.35783239226708
500000,0.105,14,11.8715494044343,3.31028106832607
500000,0.105,15,11.878575961593,3.26298449509249
500000,0.105,16,11.8794514998635,3.22429344120726
500000,0.105,17,11.8839001563473,3.19091625883639
500000,0.105,18,11.887799983014,3.15889787408362
500000,0.105,19,11.8911844114416,3.13268001818526
500000,0.105,20,11.8932329875734,3.10807058577926
500000,0.14,5,11.7428985442644,4.29495617088548
500000,0.14,6,11.7956661752254,3.96027649422397
500000,0.14,7,11.808721104396,3.74509597279154
500000,0.14,8,11.8292544744042,3.57032766873934
500000,0.14,9,11.8370719803972,3.43511257345729
500000,0.14,10,11.8559932035934,3.32712296613102
500000,0.14,11,11.8612557661453,3.23980375498882
500000,0.14,12,11.8657284818967,3.16805258705398
500000,0.14,13,11.8722703517706,3.10431922901192
500000,0.14,14,11.8735586225569,3.05383774118261
500000,0.14,15,11.8793096104337,3.00595057692369
500000,0.14,16,11.8849558374804,2.96349001856005
500000,0.14,17,11.8854495217853,2.92949181549001
500000,0.14,18,11.8906356536037,2.89551792566302
500000,0.14,19,11.8938760580627,2.86501153083736
500000,0.14,20,11.8953790598761,2.83947709390474
