"No.","FREQUENCY(Hz)","LS[H]","Z[ohm]"
"1","10.000E+00","19.80430E-06","21.158E-03"
"2","10.170E+00","19.76519E-06","21.156E-03"
"3","10.330E+00","19.75376E-06","21.160E-03"
"4","10.500E+00","19.80558E-06","21.149E-03"
"5","10.680E+00","19.68112E-06","21.153E-03"
"6","10.850E+00","19.69893E-06","21.158E-03"
"7","11.030E+00","19.72098E-06","21.179E-03"
"8","11.220E+00","19.76776E-06","21.183E-03"
"9","11.400E+00","19.81547E-06","21.180E-03"
"10","11.590E+00","19.76375E-06","21.183E-03"
"11","11.780E+00","19.61233E-06","21.190E-03"
"12","11.980E+00","19.65948E-06","21.192E-03"
"13","12.180E+00","19.61607E-06","21.186E-03"
"14","12.380E+00","19.60713E-06","21.195E-03"
"15","12.580E+00","19.59822E-06","21.186E-03"
"16","12.790E+00","19.55998E-06","21.200E-03"
"17","13.000E+00","19.73878E-06","21.197E-03"
"18","13.220E+00","19.54195E-06","21.197E-03"
"19","13.430E+00","19.47966E-06","21.198E-03"
"20","13.660E+00","19.50013E-06","21.203E-03"
"21","13.880E+00","19.45723E-06","21.200E-03"
"22","14.110E+00","19.57976E-06","21.209E-03"
"23","14.350E+00","19.56120E-06","21.207E-03"
"24","14.580E+00","19.37345E-06","21.205E-03"
"25","14.820E+00","19.46629E-06","21.215E-03"
"26","15.070E+00","19.35273E-06","21.209E-03"
"27","15.320E+00","19.37756E-06","21.221E-03"
"28","15.570E+00","19.37620E-06","21.210E-03"
"29","15.830E+00","19.38809E-06","21.221E-03"
"30","16.090E+00","19.38388E-06","21.225E-03"
"31","16.360E+00","19.45335E-06","21.221E-03"
"32","16.630E+00","19.35663E-06","21.220E-03"
"33","16.900E+00","19.32982E-06","21.229E-03"
"34","17.180E+00","19.37389E-06","21.236E-03"
"35","17.470E+00","19.34091E-06","21.236E-03"
"36","17.760E+00","19.28084E-06","21.239E-03"
"37","18.050E+00","19.33321E-06","21.248E-03"
"38","18.350E+00","19.24667E-06","21.238E-03"
"39","18.650E+00","19.31194E-06","21.245E-03"
"40","18.960E+00","19.22319E-06","21.256E-03"
"41","19.270E+00","19.27333E-06","21.253E-03"
"42","19.590E+00","19.26725E-06","21.267E-03"
"43","19.920E+00","19.30855E-06","21.266E-03"
"44","20.250E+00","19.21413E-06","21.270E-03"
"45","20.580E+00","19.30025E-06","21.276E-03"
"46","20.920E+00","19.16975E-06","21.278E-03"
"47","21.270E+00","19.22363E-06","21.285E-03"
"48","21.620E+00","19.23441E-06","21.287E-03"
"49","21.980E+00","19.22573E-06","21.297E-03"
"50","22.340E+00","19.24749E-06","21.295E-03"
"51","22.710E+00","19.18127E-06","21.298E-03"
"52","23.080E+00","19.21110E-06","21.301E-03"
"53","23.470E+00","19.22977E-06","21.307E-03"
"54","23.850E+00","19.07730E-06","21.325E-03"
"55","24.250E+00","19.17538E-06","21.318E-03"
"56","24.650E+00","19.18514E-06","21.330E-03"
"57","25.060E+00","19.21254E-06","21.344E-03"
"58","25.470E+00","19.15274E-06","21.341E-03"
"59","25.890E+00","19.14913E-06","21.358E-03"
"60","26.320E+00","19.12726E-06","21.356E-03"
"61","26.760E+00","19.13337E-06","21.371E-03"
"62","27.200E+00","19.11675E-06","21.383E-03"
"63","27.650E+00","19.13301E-06","21.379E-03"
"64","28.110E+00","19.15413E-06","21.393E-03"
"65","28.570E+00","19.08393E-06","21.401E-03"
"66","29.040E+00","19.17722E-06","21.409E-03"
"67","29.520E+00","19.12290E-06","21.409E-03"
"68","30.010E+00","19.12563E-06","21.432E-03"
"69","30.510E+00","19.15696E-06","21.443E-03"
"70","31.010E+00","19.03629E-06","21.454E-03"
"71","31.530E+00","19.13903E-06","21.462E-03"
"72","32.050E+00","19.06817E-06","21.471E-03"
"73","32.580E+00","19.07223E-06","21.475E-03"
"74","33.120E+00","19.05972E-06","21.496E-03"
"75","33.660E+00","19.05159E-06","21.500E-03"
"76","34.220E+00","19.06503E-06","21.521E-03"
"77","34.790E+00","19.07845E-06","21.535E-03"
