"No.","FREQUENCY(Hz)","LS[H]","Z[ohm]"
"78","35.360E+00","19.07384E-06","21.548E-03"
"79","35.950E+00","19.04493E-06","21.550E-03"
"80","36.540E+00","19.04636E-06","21.569E-03"
"81","37.140E+00","19.06641E-06","21.588E-03"
"82","37.760E+00","18.99679E-06","21.600E-03"
"83","38.380E+00","19.02884E-06","21.615E-03"
"84","39.020E+00","19.04296E-06","21.636E-03"
"85","39.660E+00","19.04046E-06","21.649E-03"
"86","40.320E+00","19.01054E-06","21.668E-03"
"87","40.990E+00","19.04535E-06","21.692E-03"
"88","41.660E+00","18.99433E-06","21.702E-03"
"89","42.350E+00","19.00497E-06","21.723E-03"
"90","43.050E+00","18.96344E-06","21.745E-03"
"91","43.770E+00","18.98057E-06","21.761E-03"
"92","44.490E+00","19.01120E-06","21.789E-03"
"93","45.230E+00","18.97129E-06","21.800E-03"
"94","45.970E+00","19.00580E-06","21.829E-03"
"95","46.730E+00","18.96690E-06","21.861E-03"
"96","47.510E+00","18.96805E-06","21.874E-03"
"97","48.290E+00","18.98578E-06","21.894E-03"
"98","49.090E+00","18.96391E-06","21.927E-03"
"99","49.900E+00","18.95654E-06","21.940E-03"
"100","50.730E+00","18.95779E-06","21.970E-03"
"101","51.570E+00","18.97685E-06","22.016E-03"
"102","52.420E+00","18.97421E-06","22.040E-03"
"103","53.290E+00","18.95316E-06","22.065E-03"
"104","54.170E+00","18.95897E-06","22.096E-03"
"105","55.060E+00","18.95350E-06","22.133E-03"
"106","55.970E+00","18.92191E-06","22.154E-03"
"107","56.900E+00","18.95975E-06","22.202E-03"
"108","57.840E+00","18.93453E-06","22.233E-03"
"109","58.800E+00","18.93636E-06","22.265E-03"
"110","59.770E+00","18.94953E-06","22.312E-03"
"111","60.760E+00","18.93670E-06","22.339E-03"
"112","61.760E+00","18.93317E-06","22.381E-03"
"113","62.780E+00","18.92762E-06","22.422E-03"
"114","63.820E+00","18.94891E-06","22.467E-03"
"115","64.880E+00","18.93507E-06","22.507E-03"
"116","65.950E+00","18.93564E-06","22.550E-03"
"117","67.040E+00","18.91950E-06","22.599E-03"
"118","68.150E+00","18.89590E-06","22.647E-03"
"119","69.280E+00","18.88189E-06","22.688E-03"
"120","70.420E+00","18.90490E-06","22.749E-03"
"121","71.590E+00","18.92363E-06","22.792E-03"
"122","72.770E+00","18.90349E-06","22.861E-03"
"123","73.980E+00","18.90676E-06","22.909E-03"
"124","75.200E+00","18.89788E-06","22.963E-03"
"125","76.440E+00","18.90846E-06","23.030E-03"
"126","77.710E+00","18.89876E-06","23.085E-03"
"127","78.990E+00","18.88705E-06","23.149E-03"
"128","80.300E+00","18.88890E-06","23.211E-03"
"129","81.630E+00","18.89481E-06","23.282E-03"
"130","82.980E+00","18.89894E-06","23.350E-03"
"131","84.350E+00","18.88182E-06","23.420E-03"
"132","85.740E+00","18.89244E-06","23.491E-03"
"133","87.160E+00","18.88467E-06","23.569E-03"
"134","88.600E+00","18.88219E-06","23.637E-03"
"135","90.070E+00","18.88399E-06","23.725E-03"
"136","91.560E+00","18.87016E-06","23.802E-03"
"137","93.070E+00","18.88606E-06","23.889E-03"
"138","94.610E+00","18.88291E-06","23.976E-03"
"139","96.180E+00","18.85840E-06","24.061E-03"
"140","97.770E+00","18.87002E-06","24.159E-03"
"141","99.380E+00","18.86464E-06","24.252E-03"
"142","101.03E+00","18.88512E-06","24.349E-03"
"143","102.70E+00","18.87415E-06","24.432E-03"
"144","104.40E+00","18.87085E-06","24.548E-03"
"145","106.12E+00","18.88149E-06","24.658E-03"
"146","107.88E+00","18.90401E-06","24.794E-03"
"147","109.66E+00","18.88553E-06","24.889E-03"
"148","111.48E+00","18.88913E-06","25.005E-03"
"149","113.32E+00","18.86081E-06","25.112E-03"
"150","115.19E+00","18.87948E-06","25.234E-03"
"151","117.10E+00","18.90219E-06","25.381E-03"
"152","119.04E+00","18.88655E-06","25.497E-03"
"153","121.01E+00","18.88791E-06","25.623E-03"
"154","123.01E+00","18.89637E-06","25.763E-03"
"155","125.04E+00","18.90979E-06","25.915E-03"
"156","127.11E+00","18.89631E-06","26.049E-03"
"157","129.21E+00","18.88984E-06","26.199E-03"
"158","131.35E+00","18.89788E-06","26.353E-03"
"159","133.52E+00","18.89326E-06","26.505E-03"
"160","135.73E+00","18.90521E-06","26.668E-03"
"161","137.97E+00","18.89904E-06","26.828E-03"
"162","140.25E+00","18.90700E-06","27.004E-03"
"163","142.57E+00","18.90084E-06","27.171E-03"
"164","144.93E+00","18.90118E-06","27.351E-03"
"165","147.33E+00","18.90364E-06","27.530E-03"
"166","149.77E+00","18.90557E-06","27.725E-03"
"167","152.24E+00","18.90166E-06","27.917E-03"
"168","154.76E+00","18.90089E-06","28.106E-03"
"169","157.32E+00","18.90522E-06","28.316E-03"
"170","159.92E+00","18.90733E-06","28.527E-03"
"171","162.57E+00","18.89476E-06","28.736E-03"
"172","165.26E+00","18.90584E-06","28.957E-03"
"173","167.99E+00","18.90202E-06","29.182E-03"
"174","170.77E+00","18.90360E-06","29.409E-03"
"175","173.59E+00","18.90639E-06","29.649E-03"
"176","176.46E+00","18.90799E-06","29.890E-03"
"177","179.38E+00","18.91236E-06","30.136E-03"
"178","182.35E+00","18.90936E-06","30.391E-03"
"179","185.36E+00","18.90385E-06","30.640E-03"
"180","188.43E+00","18.90649E-06","30.912E-03"
"181","191.54E+00","18.90469E-06","31.188E-03"
"182","194.71E+00","18.91249E-06","31.469E-03"
"183","197.93E+00","18.90426E-06","31.739E-03"
"184","201.21E+00","18.89660E-06","32.034E-03"
"185","204.53E+00","18.90283E-06","32.328E-03"
"186","207.92E+00","18.91112E-06","32.651E-03"
"187","211.35E+00","18.90520E-06","32.955E-03"
"188","214.85E+00","18.90228E-06","33.270E-03"
"189","218.40E+00","18.89926E-06","33.604E-03"
"190","222.01E+00","18.89602E-06","33.926E-03"
"191","225.69E+00","18.91120E-06","34.286E-03"
"192","229.42E+00","18.90550E-06","34.636E-03"
"193","233.21E+00","18.90921E-06","35.000E-03"
"194","237.07E+00","18.90366E-06","35.358E-03"
"195","240.99E+00","18.89887E-06","35.730E-03"
"196","244.98E+00","18.90182E-06","36.114E-03"
"197","249.03E+00","18.90074E-06","36.503E-03"
"198","253.15E+00","18.89304E-06","36.896E-03"
"199","257.33E+00","18.89100E-06","37.300E-03"
"200","261.59E+00","18.90000E-06","37.733E-03"
"201","265.91E+00","18.89341E-06","38.151E-03"
"202","270.31E+00","18.89534E-06","38.588E-03"
"203","274.78E+00","18.89535E-06","39.034E-03"
"204","279.33E+00","18.89231E-06","39.489E-03"
"205","283.95E+00","18.88997E-06","39.947E-03"
"206","288.64E+00","18.88675E-06","40.420E-03"
"207","293.42E+00","18.88856E-06","40.904E-03"
"208","298.27E+00","18.88635E-06","41.396E-03"
"209","303.20E+00","18.88643E-06","41.898E-03"
"210","308.22E+00","18.88507E-06","42.411E-03"
"211","313.31E+00","18.88588E-06","42.940E-03"
"212","318.50E+00","18.88392E-06","43.477E-03"
"213","323.76E+00","18.88291E-06","44.016E-03"
"214","329.12E+00","18.88331E-06","44.580E-03"
"215","334.56E+00","18.87918E-06","45.142E-03"
"216","340.09E+00","18.87835E-06","45.721E-03"
"217","345.72E+00","18.87932E-06","46.313E-03"
"218","351.44E+00","18.87652E-06","46.916E-03"
"219","357.25E+00","18.87688E-06","47.528E-03"
"220","363.16E+00","18.87475E-06","48.156E-03"
"221","369.16E+00","18.87371E-06","48.790E-03"
"222","375.27E+00","18.87015E-06","49.439E-03"
"223","381.47E+00","18.87007E-06","50.108E-03"
"224","387.78E+00","18.87044E-06","50.786E-03"
"225","394.20E+00","18.86712E-06","51.472E-03"
"226","400.71E+00","18.86997E-06","52.183E-03"
"227","407.34E+00","18.86801E-06","52.901E-03"
"228","414.08E+00","18.86620E-06","53.627E-03"
"229","420.93E+00","18.86421E-06","54.369E-03"
"230","427.89E+00","18.86762E-06","55.138E-03"
"231","434.96E+00","18.86201E-06","55.903E-03"
"232","442.16E+00","18.86084E-06","56.687E-03"
"233","449.47E+00","18.85862E-06","57.486E-03"
"234","456.90E+00","18.85711E-06","58.299E-03"
"235","464.46E+00","18.85634E-06","59.136E-03"
"236","472.14E+00","18.85477E-06","59.978E-03"
"237","479.95E+00","18.85614E-06","60.851E-03"
"238","487.89E+00","18.85470E-06","61.729E-03"
"239","495.96E+00","18.85331E-06","62.622E-03"
"240","504.16E+00","18.85386E-06","63.541E-03"
"241","512.50E+00","18.85331E-06","64.475E-03"
"242","520.97E+00","18.85117E-06","65.415E-03"
"243","529.59E+00","18.85150E-06","66.381E-03"
"244","538.35E+00","18.85252E-06","67.370E-03"
"245","547.25E+00","18.84526E-06","68.346E-03"
"246","556.30E+00","18.84634E-06","69.371E-03"
"247","565.50E+00","18.84623E-06","70.411E-03"
"248","574.85E+00","18.84397E-06","71.460E-03"
"249","584.36E+00","18.84249E-06","72.530E-03"
"250","594.02E+00","18.84273E-06","73.625E-03"
"251","603.85E+00","18.84121E-06","74.737E-03"
"252","613.84E+00","18.84118E-06","75.871E-03"
"253","623.99E+00","18.84032E-06","77.023E-03"
"254","634.31E+00","18.83867E-06","78.190E-03"
"255","644.80E+00","18.83677E-06","79.379E-03"
"256","655.46E+00","18.83529E-06","80.591E-03"
"257","666.30E+00","18.83729E-06","81.837E-03"
"258","677.32E+00","18.83360E-06","83.083E-03"
"259","688.52E+00","18.83483E-06","84.372E-03"
"260","699.91E+00","18.83189E-06","85.666E-03"
"261","711.48E+00","18.83143E-06","86.989E-03"
"262","723.25E+00","18.82978E-06","88.334E-03"
"263","735.21E+00","18.82809E-06","89.702E-03"
"264","747.37E+00","18.82719E-06","91.098E-03"
"265","759.73E+00","18.82550E-06","92.515E-03"
"266","772.30E+00","18.82476E-06","93.959E-03"
"267","785.07E+00","18.82258E-06","95.417E-03"
"268","798.05E+00","18.82160E-06","96.913E-03"
"269","811.25E+00","18.82194E-06","98.439E-03"
"270","824.67E+00","18.81986E-06","99.978E-03"
"271","838.31E+00","18.81850E-06","101.546E-03"
"272","852.17E+00","18.81609E-06","103.139E-03"
"273","866.26E+00","18.81440E-06","104.765E-03"
"274","880.59E+00","18.81409E-06","106.416E-03"
"275","895.15E+00","18.81007E-06","108.089E-03"
"276","909.96E+00","18.81290E-06","109.824E-03"
"277","925.01E+00","18.80867E-06","111.549E-03"
"278","940.30E+00","18.80866E-06","113.320E-03"
"279","955.86E+00","18.80652E-06","115.114E-03"
"280","971.66E+00","18.80563E-06","116.949E-03"
"281","987.73E+00","18.80206E-06","118.795E-03"
"282","1.0041E+03","18.79969E-06","120.687E-03"
"283","1.0207E+03","18.80088E-06","122.623E-03"
"284","1.0376E+03","18.79632E-06","124.565E-03"
"285","1.0547E+03","18.79513E-06","126.548E-03"
"286","1.0722E+03","18.79289E-06","128.573E-03"
"287","1.0899E+03","18.79105E-06","130.622E-03"
"288","1.1079E+03","18.78893E-06","132.708E-03"
"289","1.1262E+03","18.78600E-06","134.823E-03"
"290","1.1449E+03","18.78467E-06","136.997E-03"
"291","1.1638E+03","18.78545E-06","139.205E-03"
"292","1.1830E+03","18.78189E-06","141.421E-03"
"293","1.2026E+03","18.78061E-06","143.702E-03"
"294","1.2225E+03","18.77852E-06","146.011E-03"
"295","1.2427E+03","18.77736E-06","148.359E-03"
"296","1.2633E+03","18.77444E-06","150.744E-03"
"297","1.2842E+03","18.77037E-06","153.156E-03"
"298","1.3054E+03","18.77037E-06","155.634E-03"
"299","1.3270E+03","18.76808E-06","158.139E-03"
"300","1.3489E+03","18.76535E-06","160.679E-03"
"301","1.3712E+03","18.76357E-06","163.272E-03"
"302","1.3939E+03","18.76124E-06","165.905E-03"
"303","1.4170E+03","18.75784E-06","168.580E-03"
"304","1.4404E+03","18.75593E-06","171.302E-03"
"305","1.4642E+03","18.75224E-06","174.052E-03"
"306","1.4884E+03","18.75117E-06","176.875E-03"
"307","1.5131E+03","18.74966E-06","179.751E-03"
"308","1.5381E+03","18.74729E-06","182.655E-03"
"309","1.5635E+03","18.74549E-06","185.611E-03"
"310","1.5894E+03","18.74165E-06","188.607E-03"
"311","1.6157E+03","18.73890E-06","191.659E-03"
"312","1.6424E+03","18.73522E-06","194.746E-03"
"313","1.6695E+03","18.73382E-06","197.904E-03"
"314","1.6972E+03","18.73101E-06","201.119E-03"
"315","1.7252E+03","18.72751E-06","204.361E-03"
"316","1.7538E+03","18.72599E-06","207.693E-03"
"317","1.7828E+03","18.72262E-06","211.052E-03"
"318","1.8122E+03","18.71916E-06","214.455E-03"
"319","1.8422E+03","18.71739E-06","217.948E-03"
"320","1.8727E+03","18.71436E-06","221.485E-03"
"321","1.9037E+03","18.71189E-06","225.085E-03"
"322","1.9351E+03","18.70850E-06","228.722E-03"
"323","1.9671E+03","18.70539E-06","232.431E-03"
"324","1.9997E+03","18.70340E-06","236.222E-03"
"325","2.0327E+03","18.70013E-06","240.045E-03"
"326","2.0664E+03","18.69747E-06","243.956E-03"
"327","2.1005E+03","18.69369E-06","247.901E-03"
"328","2.1353E+03","18.68987E-06","251.923E-03"
"329","2.1706E+03","18.68796E-06","256.030E-03"
"330","2.2065E+03","18.68594E-06","260.204E-03"
"331","2.2430E+03","18.68265E-06","264.430E-03"
"332","2.2801E+03","18.67872E-06","268.717E-03"
"333","2.3178E+03","18.67690E-06","273.104E-03"
"334","2.3561E+03","18.67380E-06","277.540E-03"
"335","2.3951E+03","18.67169E-06","282.073E-03"
"336","2.4347E+03","18.66831E-06","286.655E-03"
"337","2.4750E+03","18.66420E-06","291.306E-03"
"338","2.5159E+03","18.66193E-06","296.055E-03"
"339","2.5575E+03","18.65871E-06","300.872E-03"
"340","2.5998E+03","18.65658E-06","305.783E-03"
"341","2.6428E+03","18.65241E-06","310.744E-03"
"342","2.6865E+03","18.64868E-06","315.792E-03"
"343","2.7309E+03","18.64636E-06","320.945E-03"
"344","2.7761E+03","18.64413E-06","326.192E-03"
"345","2.8220E+03","18.63985E-06","331.483E-03"
"346","2.8687E+03","18.63706E-06","336.893E-03"
"347","2.9161E+03","18.63460E-06","342.389E-03"
"348","2.9643E+03","18.63191E-06","347.972E-03"
"349","3.0134E+03","18.62816E-06","353.640E-03"
"350","3.0632E+03","18.62506E-06","359.401E-03"
"351","3.1139E+03","18.62115E-06","365.248E-03"
"352","3.1654E+03","18.61816E-06","371.205E-03"
"353","3.2177E+03","18.61542E-06","377.260E-03"
"354","3.2709E+03","18.61156E-06","383.393E-03"
"355","3.3250E+03","18.60929E-06","389.664E-03"
"356","3.3800E+03","18.60580E-06","396.013E-03"
"357","3.4359E+03","18.60175E-06","402.452E-03"
"358","3.4927E+03","18.59979E-06","409.039E-03"
"359","3.5505E+03","18.59567E-06","415.694E-03"
"360","3.6092E+03","18.59289E-06","422.482E-03"
"361","3.6689E+03","18.58950E-06","429.370E-03"
"362","3.7296E+03","18.58639E-06","436.381E-03"
"363","3.7913E+03","18.58267E-06","443.488E-03"
"364","3.8540E+03","18.57997E-06","450.737E-03"
"365","3.9177E+03","18.57726E-06","458.098E-03"
"366","3.9825E+03","18.57380E-06","465.570E-03"
"367","4.0484E+03","18.57017E-06","473.160E-03"
"368","4.1153E+03","18.56677E-06","480.871E-03"
"369","4.1834E+03","18.56392E-06","488.735E-03"
"370","4.2526E+03","18.56082E-06","496.716E-03"
"371","4.3229E+03","18.55726E-06","504.811E-03"
"372","4.3944E+03","18.55501E-06","513.079E-03"
"373","4.4671E+03","18.55189E-06","521.461E-03"
"374","4.5409E+03","18.54882E-06","529.970E-03"
"375","4.6160E+03","18.54570E-06","538.625E-03"
"376","4.6924E+03","18.54248E-06","547.426E-03"
"377","4.7700E+03","18.53905E-06","556.358E-03"
"378","4.8489E+03","18.53645E-06","565.463E-03"
"379","4.9291E+03","18.53319E-06","574.697E-03"
"380","5.0106E+03","18.53008E-06","584.084E-03"
"381","5.0934E+03","18.52735E-06","593.631E-03"
"382","5.1777E+03","18.52420E-06","603.336E-03"
"383","5.2633E+03","18.52158E-06","613.207E-03"
"384","5.3503E+03","18.51826E-06","623.214E-03"
"385","5.4388E+03","18.51564E-06","633.416E-03"
"386","5.5288E+03","18.51293E-06","643.788E-03"
"387","5.6202E+03","18.50948E-06","654.292E-03"
"388","5.7132E+03","18.50680E-06","665.006E-03"
"389","5.8077E+03","18.50364E-06","675.873E-03"
"390","5.9037E+03","18.50113E-06","686.937E-03"
"391","6.0013E+03","18.49787E-06","698.156E-03"
"392","6.1006E+03","18.49518E-06","709.588E-03"
"393","6.2015E+03","18.49231E-06","721.197E-03"
"394","6.3040E+03","18.48945E-06","732.988E-03"
"395","6.4083E+03","18.48699E-06","745.001E-03"
"396","6.5143E+03","18.48381E-06","757.179E-03"
"397","6.6220E+03","18.48113E-06","769.570E-03"
"398","6.7315E+03","18.47767E-06","782.134E-03"
"399","6.8429E+03","18.47561E-06","794.975E-03"
"400","6.9560E+03","18.47265E-06","807.970E-03"
"401","7.0711E+03","18.46989E-06","821.202E-03"
"402","7.1880E+03","18.46669E-06","834.619E-03"
"403","7.3069E+03","18.46415E-06","848.295E-03"
"404","7.4277E+03","18.46146E-06","862.180E-03"
"405","7.5506E+03","18.45828E-06","876.280E-03"
"406","7.6754E+03","18.45587E-06","890.634E-03"
"407","7.8024E+03","18.45360E-06","905.245E-03"
"408","7.9314E+03","18.45048E-06","920.043E-03"
"409","8.0626E+03","18.44828E-06","935.138E-03"
"410","8.1959E+03","18.44561E-06","950.448E-03"
"411","8.3315E+03","18.44307E-06","966.026E-03"
"412","8.4693E+03","18.44029E-06","981.843E-03"
"413","8.6093E+03","18.43740E-06","997.904E-03"
"414","8.7517E+03","18.43497E-06","1.014265E+00"
"415","8.8965E+03","18.43226E-06","1.030882E+00"
"416","9.0436E+03","18.43009E-06","1.047791E+00"
"417","9.1932E+03","18.42766E-06","1.064970E+00"
"418","9.3452E+03","18.42513E-06","1.082417E+00"
"419","9.4997E+03","18.42272E-06","1.100156E+00"
"420","9.6569E+03","18.42009E-06","1.118190E+00"
"421","9.8166E+03","18.41754E-06","1.136512E+00"
"422","9.9789E+03","18.41503E-06","1.155132E+00"
"423","10.144E+03","18.41222E-06","1.174052E+00"
"424","10.312E+03","18.40866E-06","1.193254E+00"
"425","10.482E+03","18.40836E-06","1.212894E+00"
"426","10.656E+03","18.40498E-06","1.232791E+00"
"427","10.832E+03","18.40334E-06","1.253029E+00"
"428","11.011E+03","18.40069E-06","1.273540E+00"
"429","11.193E+03","18.39714E-06","1.294329E+00"
"430","11.378E+03","18.39559E-06","1.315600E+00"
"431","11.566E+03","18.39366E-06","1.337185E+00"
"432","11.758E+03","18.39064E-06","1.359150E+00"
"433","11.952E+03","18.38904E-06","1.381444E+00"
"434","12.150E+03","18.38599E-06","1.404084E+00"
"435","12.351E+03","18.38426E-06","1.427168E+00"
"436","12.555E+03","18.38182E-06","1.450537E+00"
"437","12.763E+03","18.37916E-06","1.474344E+00"
"438","12.974E+03","18.37758E-06","1.498579E+00"
"439","13.188E+03","18.37439E-06","1.523021E+00"
"440","13.406E+03","18.37290E-06","1.548061E+00"
"441","13.628E+03","18.37025E-06","1.573459E+00"
"442","13.853E+03","18.36868E-06","1.599290E+00"
"443","14.083E+03","18.36634E-06","1.625626E+00"
"444","14.315E+03","18.36427E-06","1.652210E+00"
"445","14.552E+03","18.36134E-06","1.679285E+00"
"446","14.793E+03","18.36005E-06","1.706967E+00"
"447","15.038E+03","18.35716E-06","1.734955E+00"
"448","15.286E+03","18.35556E-06","1.763402E+00"
"449","15.539E+03","18.35331E-06","1.792358E+00"
"450","15.796E+03","18.35168E-06","1.821831E+00"
"451","16.057E+03","18.34918E-06","1.851672E+00"
"452","16.323E+03","18.34753E-06","1.882167E+00"
"453","16.593E+03","18.34543E-06","1.913072E+00"
"454","16.867E+03","18.34342E-06","1.944439E+00"
"455","17.146E+03","18.34177E-06","1.976416E+00"
"456","17.430E+03","18.33939E-06","2.008882E+00"
"457","17.718E+03","18.33785E-06","2.041894E+00"
"458","18.011E+03","18.33591E-06","2.075432E+00"
"459","18.309E+03","18.33411E-06","2.109555E+00"
"460","18.612E+03","18.33190E-06","2.144198E+00"
"461","18.919E+03","18.33044E-06","2.179383E+00"
"462","19.232E+03","18.32831E-06","2.215174E+00"
"463","19.550E+03","18.32681E-06","2.251608E+00"
"464","19.874E+03","18.32510E-06","2.288701E+00"
"465","20.202E+03","18.32330E-06","2.326236E+00"
"466","20.536E+03","18.32155E-06","2.364461E+00"
"467","20.876E+03","18.31965E-06","2.403350E+00"
"468","21.221E+03","18.31780E-06","2.442812E+00"
"469","21.572E+03","18.31640E-06","2.483018E+00"
"470","21.929E+03","18.31462E-06","2.523856E+00"
"471","22.292E+03","18.31301E-06","2.565400E+00"
"472","22.660E+03","18.31134E-06","2.607504E+00"
"473","23.035E+03","18.30974E-06","2.650415E+00"
"474","23.416E+03","18.30828E-06","2.694030E+00"
"475","23.803E+03","18.30672E-06","2.738313E+00"
"476","24.197E+03","18.30507E-06","2.783379E+00"
"477","24.597E+03","18.30355E-06","2.829148E+00"
"478","25.004E+03","18.30215E-06","2.875734E+00"
"479","25.418E+03","18.30046E-06","2.923069E+00"
"480","25.838E+03","18.29911E-06","2.971142E+00"
"481","26.265E+03","18.29740E-06","3.019954E+00"
"482","26.700E+03","18.29583E-06","3.069698E+00"
"483","27.141E+03","18.29465E-06","3.120189E+00"
"484","27.590E+03","18.29312E-06","3.171536E+00"
"485","28.046E+03","18.29196E-06","3.223741E+00"
"486","28.510E+03","18.29039E-06","3.276787E+00"
"487","28.982E+03","18.28899E-06","3.330772E+00"
"488","29.461E+03","18.28774E-06","3.385581E+00"
"489","29.948E+03","18.28636E-06","3.441280E+00"
"490","30.444E+03","18.28339E-06","3.497697E+00"
"491","30.947E+03","18.28217E-06","3.555243E+00"
"492","31.459E+03","18.28082E-06","3.613787E+00"
"493","31.979E+03","18.27984E-06","3.673317E+00"
"494","32.508E+03","18.27824E-06","3.733746E+00"
"495","33.046E+03","18.27727E-06","3.795330E+00"
"496","33.592E+03","18.27581E-06","3.857723E+00"
"497","34.148E+03","18.27463E-06","3.921314E+00"
"498","34.712E+03","18.27344E-06","3.985812E+00"
"499","35.287E+03","18.27243E-06","4.051605E+00"
"500","35.870E+03","18.27132E-06","4.118285E+00"
"501","36.463E+03","18.27020E-06","4.186106E+00"
"502","37.066E+03","18.26906E-06","4.255060E+00"
"503","37.679E+03","18.26788E-06","4.325142E+00"
"504","38.303E+03","18.26696E-06","4.396542E+00"
"505","38.936E+03","18.26587E-06","4.468926E+00"
"506","39.580E+03","18.26492E-06","4.542598E+00"
"507","40.234E+03","18.26404E-06","4.617428E+00"
"508","40.900E+03","18.26302E-06","4.693591E+00"
"509","41.576E+03","18.26213E-06","4.770928E+00"
"510","42.264E+03","18.26119E-06","4.849621E+00"
"511","42.963E+03","18.26033E-06","4.929589E+00"
"512","43.673E+03","18.25941E-06","5.010796E+00"
"513","44.396E+03","18.25865E-06","5.093530E+00"
"514","45.130E+03","18.25782E-06","5.177497E+00"
"515","45.876E+03","18.25702E-06","5.262846E+00"
"516","46.635E+03","18.25613E-06","5.349650E+00"
"517","47.406E+03","18.25561E-06","5.437931E+00"
"518","48.190E+03","18.25480E-06","5.527612E+00"
"519","48.987E+03","18.25424E-06","5.618851E+00"
"520","49.797E+03","18.25338E-06","5.711482E+00"
"521","50.621E+03","18.25288E-06","5.805828E+00"
"522","51.458E+03","18.25206E-06","5.901553E+00"
"523","52.309E+03","18.25144E-06","5.998940E+00"
"524","53.174E+03","18.25095E-06","6.097969E+00"
"525","54.054E+03","18.25029E-06","6.198656E+00"
"526","54.948E+03","18.24985E-06","6.301018E+00"
