x_t	y_t	y_c1	y_c2	z_c1	Pfe	Pcu
5	0.07	2	9.45332986211258	11.750387852759	151.604787072964	2.35156189673445
5	0.07	11.9049108943839	10.207676908134	4.51599789917039	72.8612346812613	0.894104719449158
5	0.07	19.5305172209202	6.22837382415722	35.2139157484064	1.97046788053303	6.28805196757197
5	0.07	20	6.125	2.625	85.7473280107763	0.882084913841872
5	0.07	20	12	29.6940206337118	2.7597322580653	4.26586536480242
5	0.0700029156194071	15.7206539685959	8.52213317529877	40	2.0879433428503	5.67380604853312
5	0.0700064897216192	8.25361345990183	9.90154761948771	40	4.2855014456399	5.42256732858201
5	0.0703884015530836	15.9909325343674	6.0292166000858	2	154.690624228697	0.758574571177553
5	0.0707987945186645	2.98743621038514	11.8677391627158	7.49071971238616	191.639317068584	1.61605050146109
5	0.075	2.91552592072731	6	38.98540777205	13.6326375122536	8.15148770411426
5	0.075	6.31718644518571	6	27.4176879970524	8.89288728905075	6.05101946729425
5	0.0789229438369552	4.67017637126264	11.0487106892062	35.7169636587583	10.5284514885555	4.38651528999058
5	0.0796053813480816	4.47298966484416	6.000303736298	4.33352160304342	193.773524470626	1.54911858249923
5	0.0887739165701905	2	6	7.77220677059785	227.848384557177	2.60257180166491
5	0.101812927238136	4.86840479606927	11.8293480867689	28.0268502030617	14.7056924551865	3.11934519429798
5	0.106085516521278	16.2564349286411	7.81701850213816	30.6512527006723	2.96007170241768	3.76280269222853
5	0.109948240817978	20	6	15.1397394006307	6.64486462937175	2.9144466443527
5	0.11093053879581	11.7657202393797	11.929888599659	2	254.143873488435	0.425061120241449
5	0.113048686776902	18.3999776821464	11.5243388705304	36.7059247574769	2.1534257169626	3.87755365693112
5	0.130407275054402	17.6740065493672	6.40791011559655	39.9872946981734	1.79405913309677	5.24986884973665
5	0.132035927618905	6.5211160706107	6.40399137568227	15.985349351592	19.1128110220092	2.94874630746596
5	0.135303106924096	18.7857222986189	6.72577090353599	35.4833882944343	2.03422712427784	4.62151572580955
5	0.1398271946835	5.81518149782546	10.8709190957211	33.2513627341646	8.85391549050007	3.50438414339494
5	0.14	2	6	31.1879349364345	30.6958971765337	5.60508778395406
5	0.14	2	6	40	21.4507815775684	6.55502945235173
5	0.14	10.5801192189841	6	2	228.748772996736	0.617092517355675
5	0.14	19.4162329042408	7.9664203634011	31.3158026082779	2.43637139535744	3.79859275304709
5.00026539882159	0.120515546310629	6.1081088237619	8.87465449233034	11.9082095464607	35.155892230356	1.64018011978197
5.00039788768561	0.135583567008869	11.8698295572435	6.23828629688791	3.23929378003995	102.642748626636	0.806702319465283
5.000851418011	0.0700987795698219	2.00959092610257	6.00145771980455	39.4106673885669	21.7631378845513	8.82314521569178
5.00117402358249	0.0702665267109499	15.3411539049879	7.24090897039528	17.5543697938019	7.06718947602325	3.14620627122512
5.00122652369386	0.108352256514222	19.9996104197566	8.40859720014171	26.4121674723056	3.08588167220634	3.17244328660045
5.00148363750295	0.139525259088416	12.6883325662861	8.66522879544536	39.4583281917443	2.64811239053847	4.34627112383915
5.00315573781667	0.135208952306423	10.7135182993872	11.8835447143906	39.5599506398439	3.42078558739101	4.00596488584601
5.0050474577669	0.0782594604878036	2.38048582944661	11.38506650068	35.5696823444451	25.7963062668511	4.39779492231755
5.00800848132169	0.135086175061777	18.7762949338805	6.00598128681279	3.24923649802817	66.3722100204117	0.849163006980666
5.0194574157134	0.137557976639544	10.2187683207375	11.9601764396171	2	295.966389684295	0.439454900386185
5.02139848684446	0.137675797285277	19.1650046221418	9.69107639272	17.8248257621731	5.89057720391143	2.24443771410127
5.02491921208972	0.0734533318120143	3.99899165894957	6.15049311477452	3.21986605480952	343.502454543376	1.3334308466148
5.02713787546685	0.0783101634485324	7.60154881319043	8.89346789323146	4.23762371572566	123.892658837974	0.861460687320438
5.03386461154557	0.10205084871556	19.1019628668951	9.05583811373836	39.09629710333	1.8064695544814	4.36473698841625
5.04073152177712	0.0940456340769086	12.0774174233946	12	2	248.065087452342	0.443901559917138
5.06484054223527	0.0708679307528908	5.98570376581891	6.07528260312743	2	425.270430853102	0.945242959466137
5.08296067806331	0.0760219209636031	2.93792264168281	11.8689790636828	2.83020718011105	815.016337077563	1.06330249377344
5.08938920615126	0.136763461260864	2.08120401555742	11.9237380303809	3.14028418700655	1115.10337545494	1.16185908041852
5.09303905898361	0.0887722998016236	10.7603376977942	8.72987870834142	34.4164508383785	3.88072983229806	4.1827474285173
5.09729897733722	0.132025025577069	16.8357541709569	6.16666251942816	6.89863004061127	24.6417896069665	1.4555574226404
5.10000118365258	0.139985961895242	19.0053275847603	11.7580501012417	38.7556673362253	1.9325733300249	4.02425803813779
5.10580772184731	0.0744747487864755	2.84627315074654	6.06023092822986	3.12212028379403	548.06812347762	1.5284827371716
5.11206106040054	0.0701546484649358	4.42943814325997	11.7581720264329	38.2044545408217	10.4871481791927	4.92848707529537
5.11782219312612	0.119327331464938	2	11.9042058260593	40	28.2016801867473	3.76460941703642
5.12443745654761	0.137570204710807	2.61191565691955	6	30.9277010966747	22.1554484286818	5.48506228322749
